"","Ka","Ke","V0","Tlag1","prob"
"1",0.52803200825882,0.0409801606136894,64.6176007982254,0.501760015640259,0.0496991873491512
"2",0.383904006542206,0.0616355209488583,45.6672004956722,1.91872003623962,0.0865248168064797
"3",0.835897612983704,0.0328257286602354,65.5564808448315,1.81068803125381,0.0718333869081548
"4",0.347306245398865,0.0314520838592346,62.5854727092533,0.450099215428162,0.0498570778550336
"5",0.671699210342407,0.0609765769211006,35.1321601786137,1.93689603445053,0.0500706220087145
"6",0.807635211677551,0.0570482571004868,119.256961642027,0.613376020431519,0.100001899694086
"7",0.836307212421417,0.0697836171972609,69.3465606935978,1.10233602329254,0.0495754324392298
"8",0.85166721314621,0.0518844169801092,57.3945605820179,2.07513604074478,0.0661539922085078
"9",0.875091212774277,0.0466255368078041,117.557761560488,2.41945603693008,0.0500119058246491
"10",0.865619212316513,0.0291381765576077,105.548161242914,1.25849602787018,0.0724027924349681
"11",0.78561921112442,0.0291381765576077,114.548161377025,1.25849602787018,0.0279760123430498
"12",0.835897612983704,0.0328257286602354,65.5564808448315,2.21068803721428,0.0281579549059326
"13",0.732253450658188,0.0460628999872597,98.7640332569389,0.739635223652649,0.150025360660493
"14",0.436307206460953,0.0697836171972609,69.3465606935978,1.10233602329254,0.0504356032077212
"15",0.898602253323898,0.0349685639630898,113.878273449543,0.131379205986786,0.0499505034248096
"16",0.675897610599518,0.0427257288077569,65.5564808448315,3.41068805509567,0.0473234519290193
